2017-02-09 14:29:07,281 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Project-1-Console-Interpreter/src/main/resources
2017-02-09 14:29:07,282 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Project-1-Console-Interpreter/src/test/java
2017-02-09 14:29:07,282 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Project-1-Console-Interpreter/src/test/resources
2017-02-09 14:29:07,522 [Worker-32] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 11 sec
2017-02-09 14:29:08,165 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-09 14:29:08,209 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-09 14:29:08,214 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-09 14:29:08,227 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-09 17:25:22,812 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-02-09 17:25:35,790 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: DSCT-Learning-Projects:Project-1-Console-Interpreter:0.0.1-SNAPSHOT @ D:\GitHub\DSCT-Learning\Project-1-Console-Interpreter\pom.xml.
2017-02-09 17:25:36,515 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: DSCT-Learning-Projects:Project-1-Console-Interpreter:0.0.1-SNAPSHOT @ D:\GitHub\DSCT-Learning\Project-1-Console-Interpreter\pom.xml.
2017-02-09 17:25:36,999 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-09 17:25:37,007 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GitHub\DSCT-Learning\Project-1-Console-Interpreter\src\main\resources
2017-02-09 17:25:37,011 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-09 17:25:37,018 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GitHub\DSCT-Learning\Project-1-Console-Interpreter\src\test\resources
2017-02-09 17:25:38,101 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-09 17:25:38,110 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GitHub\DSCT-Learning\Project-1-Console-Interpreter\src\main\resources
2017-02-09 17:25:38,112 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-09 17:25:38,122 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GitHub\DSCT-Learning\Project-1-Console-Interpreter\src\test\resources
2017-02-09 17:28:12,936 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-09 17:28:12,946 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GitHub\DSCT-Learning\Project-1-Console-Interpreter\src\main\resources
2017-02-09 17:28:12,949 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-09 17:28:12,957 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GitHub\DSCT-Learning\Project-1-Console-Interpreter\src\test\resources
2017-02-09 17:28:30,465 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-09 17:28:30,476 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GitHub\DSCT-Learning\Project-1-Console-Interpreter\src\main\resources
2017-02-09 17:28:30,479 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1251 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-09 17:28:30,490 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\GitHub\DSCT-Learning\Project-1-Console-Interpreter\src\test\resources
2017-02-09 17:29:16,072 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
